Number of Hidden Layers, Number of Nodes per Hidden Layer, Activation function, learning rate, accuracy
2,20,ReLU,0.8999999999999999,0.5456821026282853
2,20,ReLU,0.9999999999999999,0.5957446808510638
2,20,ReLU,1.0999999999999999,0.5206508135168961
2,20,ReLU,1.2,0.5594493116395495
2,20,ReLU,1.3,0.5356695869837297
2,20,Sigmoid,1.4000000000000001,0.6846057571964956
2,20,Sigmoid,1.5000000000000002,0.6307884856070087
2,20,Sigmoid,1.6000000000000003,0.6370463078848561
2,20,Sigmoid,1.7000000000000004,0.5994993742177722
2,20,Sigmoid,1.8000000000000005,0.6620775969962454
2,20,Sigmoid,1.9000000000000006,0.6633291614518148
2,20,Sigmoid,2.0000000000000004,0.6583229036295369
2,20,Sigmoid,2.1000000000000005,0.6408010012515645
2,20,Softmax,3.0000000000000013,0.4718397997496871
2,20,Softmax,3.1000000000000014,0.5006257822277848
2,20,Softmax,3.2000000000000015,0.4755944931163955
2,20,Softmax,3.3000000000000016,0.4793491864831039
2,20,Softmax,3.4000000000000017,0.47684605757196497
2,20,Softmax,3.5000000000000018,0.4618272841051314
2,20,Softmax,3.600000000000002,0.4655819774718398
2,20,Softmax,3.700000000000002,0.5531914893617021
2,20,Tanh,2.2000000000000006,0.4856070087609512
2,20,Tanh,2.3000000000000007,0.47434292866082606
2,20,Tanh,2.400000000000001,0.43429286608260326
2,20,Tanh,2.500000000000001,0.4718397997496871
2,20,Tanh,2.600000000000001,0.45056320400500627
2,20,Tanh,2.700000000000001,0.40175219023779724
2,20,Tanh,2.800000000000001,0.3829787234042553
2,20,Tanh,2.9000000000000012,0.47684605757196497
2,21,ReLU,0.6,0.6770963704630788
2,21,ReLU,0.7,0.6220275344180225
2,21,ReLU,0.7999999999999999,0.6195244055068836
2,21,ReLU,0.8999999999999999,0.6157697121401752
2,21,ReLU,0.9999999999999999,0.5944931163954944
2,21,ReLU,1.0999999999999999,0.5356695869837297
2,21,ReLU,1.2,0.590738423028786
2,21,ReLU,1.3,0.541927409261577
2,21,Sigmoid,1.4000000000000001,0.6420525657071339
2,21,Sigmoid,1.5000000000000002,0.6295369211514393
2,21,Sigmoid,1.6000000000000003,0.609511889862328
2,21,Sigmoid,1.7000000000000004,0.6658322903629537
2,21,Sigmoid,1.8000000000000005,0.5819774718397998
2,21,Sigmoid,1.9000000000000006,0.6658322903629537
2,21,Sigmoid,2.0000000000000004,0.6495619524405507
2,21,Sigmoid,2.1000000000000005,0.6508135168961201
2,21,Softmax,3.0000000000000013,0.4856070087609512
2,21,Softmax,3.1000000000000014,0.4881101376720901
2,21,Softmax,3.2000000000000015,0.46808510638297873
2,21,Softmax,3.3000000000000016,0.47434292866082606
2,21,Softmax,3.4000000000000017,0.47058823529411764
2,21,Softmax,3.5000000000000018,0.47309136420525655
2,21,Softmax,3.600000000000002,0.4718397997496871
2,21,Softmax,3.700000000000002,0.47684605757196497
2,21,Tanh,2.2000000000000006,0.48685857321652065
2,21,Tanh,2.3000000000000007,0.4455569461827284
2,21,Tanh,2.400000000000001,0.4493116395494368
2,21,Tanh,2.500000000000001,0.44806007509386736
2,21,Tanh,2.600000000000001,0.4518147684605757
2,21,Tanh,2.700000000000001,0.44430538172715894
2,21,Tanh,2.800000000000001,0.43679599499374216
2,21,Tanh,2.9000000000000012,0.44430538172715894
3,17,ReLU,0.6,0.6295369211514393
3,17,ReLU,0.7,0.5932415519399249
3,17,ReLU,0.7999999999999999,0.5394242803504381
3,17,ReLU,0.8999999999999999,0.5707133917396746
3,17,ReLU,0.9999999999999999,0.5369211514392991
3,17,ReLU,1.0999999999999999,0.5344180225281602
3,17,ReLU,1.2,0.5369211514392991
3,17,ReLU,1.3,0.5994993742177722
3,17,Sigmoid,1.4000000000000001,0.6708385481852316
3,17,Sigmoid,1.5000000000000002,0.5919899874843555
3,17,Sigmoid,1.6000000000000003,0.5869837296620776
3,17,Sigmoid,1.7000000000000004,0.6770963704630788
3,17,Sigmoid,1.8000000000000005,0.6020025031289111
3,17,Sigmoid,1.9000000000000006,0.5444305381727159
3,17,Sigmoid,2.0000000000000004,0.6295369211514393
3,17,Sigmoid,2.1000000000000005,0.5944931163954944
3,17,Softmax,3.0000000000000013,0.47058823529411764
3,17,Softmax,3.1000000000000014,0.32916145181476847
3,17,Softmax,3.2000000000000015,0.3566958698372966
3,17,Softmax,3.3000000000000016,0.32916145181476847
3,17,Softmax,3.4000000000000017,0.3141426783479349
3,17,Softmax,3.5000000000000018,0.3141426783479349
3,17,Softmax,3.600000000000002,0.43178973717146435
3,17,Softmax,3.700000000000002,0.3141426783479349
3,17,Tanh,2.2000000000000006,0.37546933667083854
3,17,Tanh,2.3000000000000007,0.4292866082603254
3,17,Tanh,2.400000000000001,0.3992490613266583
3,17,Tanh,2.500000000000001,0.409261576971214
3,17,Tanh,2.600000000000001,0.3429286608260325
3,17,Tanh,2.700000000000001,0.3541927409261577
3,17,Tanh,2.800000000000001,0.3341677096370463
3,17,Tanh,2.9000000000000012,0.30663329161451813
3,18,ReLU,0.6,0.5256570713391739
3,18,ReLU,0.7,0.6420525657071339
3,18,ReLU,0.7999999999999999,0.5556946182728411
